DATA,RESOLUÇÃO,CTT,,DEMANDA,ESCRITÓRIO,ATIVO/RECEPTIVO,DIRETOR,BANCO,COD,  RESPONSAVEL,SITUAÇÃO,0,,,,,,,,,
03/01/2025,08/01/2025,215017,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,313,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,08/01/2025,210891,1,"R$ 13.100,00",JANNE TERESINA,RECEPTIVO,LEANDRO,PANAMERICANO,501,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,08/01/2025,173389,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,314,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,08/01/2025,234655,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,301,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,08/01/2025,188322,1,VALORES,EMANUEL SALVADOR,RECEPTIVO,JULIO,BRADESCO,215,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,08/01/2025,213128,3,VALORES,AYAMI BELÉM,RECEPTIVO,LEANDRO,SANTANDER,368,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,08/01/2025,184126,1,VALORES,JANNE TERESINA,RECEPTIVO,LEANDRO,BRADESCO,BANCO,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,08/01/2025,216227,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,BRADESCO,212.6,ALINE SALVADOR,RESOLVIDO,,,,,,,,,,
03/01/2025,08/01/2025,203734,1,VALORES,MONITORAMENTO,RECEPTIVO,ANTUNES,SANTANDER,316.5,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,08/01/2025,191436,1,"6.000,00",TICKET,RECEPTIVO,ADRIANO,RENNER,4012,VICTOR ADRIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
03/01/2025,08/01/2025,214580,5,valores,TICKET,RECEPTIVO,LEANDRO,SANTANDER,312,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,08/01/2025,195807,1,"15.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,310.2,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
03/01/2025,08/01/2025,200499,2,"12.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,313.1,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
4/1/2024,08/01/2025,148358,1,VALORES,AUDITORIA,RECEPTIVO,ADRIANO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
4/1/2024,08/01/2025,233110,1,VALORES,MONITORAMENTO,RECEPTIVO,,SANTANDER,360,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
4/1/2024,08/01/2025,213128,3,VALORES,TICKET,RECEPTIVO,LEANDRO,SANTANDER,368,ALINE SALVADOR,RESOLVIDO,,,,,,,,,,
4/1/2024,08/01/2025,213128,3,"3.500,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,368,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
4/1/2024,08/01/2025,214580,5,"10.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,312,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,217977,2,VALORES,AF JURIDICO,RECEPTIVO,ADRIANO,PANAMERICANO,502,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,180683,2,VALORES,ANDERSON VITORIA,RECEPTIVO,ADRIANO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,205217,2,"R$ 11.000,00",MARCELO NOVO HAMBURGO,RECEPTIVO,ADRIANO,BV FINANCEIRA,102,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,218356,1,"R$ 15.000,00",AUDITORIA,RECEPTIVO,,SANTANDER,309,JULIA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,224068,1,"R$ 14.000,00",MARCELO NOVO HAMBURGO,RECEPTIVO,,SANTANDER,BANCO,IZABEL,RESOLVIDO,,CONTRATO FANTASMA,,,,,,,,
06/01/2025,08/01/2025,213603,2,"R$ 11.000,00",ANGELICA ITAJAI,RECEPTIVO,LEANDRO,SANTANDER,312,KATIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,224156,4,"R$ 6.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,PANAMERICANO,512,LETICIA,RESOLVIDO,,,,,,,,,,
06/01/2025,08/01/2025,232165,2,"R$ 12.000,00",JONATAM TRAMANDAI,RECEPTIVO,ADRIANO,ITAÚ,404,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,88862,1,VALORES,AUDITORIA,RECEPTIVO,,RENNER,BANCO,EDIANE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,205605,1,"R$ 4.500,00",MARCELO NOVO HAMBURGO,RECEPTIVO,ADRIANO,BV FINANCEIRA,106,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,208636,2,"R$ 3.000,00",EDGAR POA,RECEPTIVO,ADRIANO,OMNI,37.1.,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,209015,2,"R$ 6.000,00",MARCELO NOVO HAMBURGO,RECEPTIVO,,BRADESCO,,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,184693,1,"R$ 10.000,00",CINARA NOVO HAMBURGO,RECEPTIVO,,PANAMERICANO,535,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,203815,2,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,BRADESCO,212.3,FABIANA,RESOLVIDO,EM ACORDO,,,,,,,,,
06/01/2025,08/01/2025,201482,1,"15.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,223801,1,valores,TICKET,RECEPTIVO,ADRIANO,SANTANDER,316.,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,199791,1,valores,TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,524,JULIA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,220453,1,valores,TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,139,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,219856,1,"4.000,00",TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,229425,1,"11.000,00",TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,102,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,76652,2,"R$ 4.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,BV FINANCEIRA,107,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,199067,1,confirmar quitado cliente,TICKET,RECEPTIVO,ADRIANO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
06/01/2025,08/01/2025,201615,2,VALORES,ELLANY ANAPOLIS,ATIVO,LEANDRO,TOYOTA,805.1,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,180683,2,"R$ 15.000,00",MONITORAMENTO,RECEPTIVO,LEANDRO,PANAMERICANO,,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,204414,1,"R$ 17.000,00",MONITORAMENTO,RECEPTIVO,LEANDRO,ITAÚ,,GREICY,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,192087,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,316.5,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,225041,2,"R$ 10.000,00",ANDERSON VITORIA,RECEPTIVO,LEANDRO,OMNI,FICHA,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,217925,2,"R$ 4.500,00",RECEPTIVO,RECEPTIVO,,PANAMERICANO,BANCO,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,197953,1,VALORES,VANESSA PASSO FUNDO,RECEPTIVO,,PANAMERICANO,,JULIA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,213068,2,VALORES,DAKINE JARAGUA,RECEPTIVO,,SANTANDER,310,KATIA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,169518,2,"R$ 14.000,00",EDGAR POA,RECEPTIVO,ADRIANO,BRADESCO,212,FABIANA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
07/01/2025,08/01/2025,202444,3,VALORES,AF JURIDICO,RECEPTIVO,LEANDRO,ITAÚ,401,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,215087,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,ITAÚ,406.,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,186026,1,verificar se quitou,OUVIDORIA,RECEPTIVO,ADRIANO,RENNER,004799218395,IZABEL,RESOLVIDO,QUITADO CLIENTE,,,,,,,,,
07/01/2025,08/01/2025,211527,2,"R$ 4.000,00",FABRICIO CUIABA,RECEPTIVO,,BRADESCO,207,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,222595,2,VALORES,MONITORAMENTO,RECEPTIVO,,SANTANDER,313,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,216201,3,"R$ 9.000,00",BRUNA NOVO HAMBURGO,RECEPTIVO,,SANTANDER,301,EDIANE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,216201,3,"R$ 10.000,00",PATRICIA SÃO JOSE,RECEPTIVO,ADRIANO,SANTANDER,301,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,186679,1,"R$ 20.000,00",ELIAMARA JUIZ DE FORA,RECEPTIVO,,PANAMERICANO,BANCO,ITAYNNARA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,224636,1,valores,DAKINE JARAGUA,RECEPTIVO,,PANAMERICANO,,JULIA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,211707,1,"R$ 30.000,00",ANGELICA ITAJAI,RECEPTIVO,ADRIANO,BV FINANCEIRA,104,ALINE SALVADOR,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,210635,1,"R$ 14.000,00",SAMUEL TERESINA,RECEPTIVO,LEANDRO,BV FINANCEIRA,104,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,196587,1,"R$ 9.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,OMNI,,KATIA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,211898,1,"R$ 17.000,00",MAGNO PIRACICABA,RECEPTIVO,,BV FINANCEIRA,101,VITORIA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,223736,1,valores,TICKET,RECEPTIVO,ADRIANO,SANTANDER,308,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,219602,1,valores,TICKET,RECEPTIVO,LEANDRO,RCI,1003,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,211051,1,"4.000,00",TICKET,RECEPTIVO,ADRIANO,SANTANDER,314.,MONYZA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
07/01/2025,08/01/2025,224699,3,valores,TICKET,RECEPTIVO,LEANDRO,BV FINANCEIRA,120,KATIA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,217925,2,valores,TICKET,RECEPTIVO,ADRIANO,PANAMERICANO,501,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,150423,1,"4.500,00",TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,129,LETICIA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,210117,1,"7.000,00",TICKET,RECEPTIVO,ADRIANO,ITAÚ,404,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,200282,1,"8.000,00",TICKET,RECEPTIVO,ADRIANO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,218302,2,valores,TICKET,RECEPTIVO,LEANDRO,BV FINANCEIRA,102,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,202784,1,"8.500,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,212873,3,"90,000,00",TICKET,RECEPTIVO,LEANDRO,TOYOTA,807,ALINE SALVADOR,RESOLVIDO,,,,,,,,,,
08/01/2025,08/01/2025,214875,1,valores,RECEPTIVO,RECEPTIVO,LEANDRO,SANTANDER,314,ALINE SALVADOR,RESOLVIDO,APROVADO,,,,,,,,,
07/01/2025,08/01/2025,224550,1,valores,TICKET,RECEPTIVO,LEANDRO,ITAÚ,401,KATIA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,140481,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,BV FINANCEIRA,129,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,230103,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,230101,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,314,ITAYNNARA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,226626,1,VERIFICAR SE QUITOU,OUVIDORIA,RECEPTIVO,ADRIANO,SANTANDER,307.1.,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,102852,1,"R$ 4.000,00",AUDITORIA,,ADRIANO,SANTANDER,312,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,235248,2,"R$ 10.000,00",REVERSÃO,RECEPTIVO,,BV FINANCEIRA,105,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,218269,2,VALORES,RECEPTIVO,RECEPTIVO,ADRIANO,PANAMERICANO,517.1,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,210267,2,"R$ 10.000,00",VANESSA PASSO FUNDO,,ADRIANO,PANAMERICANO,502,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,215438,3,"R$ 10.500,00",RECEPTIVO,RECEPTIVO,FECHADO,ITAÚ,404,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,211947,1,"R$ 10.000,00",RECEPTIVO,RECEPTIVO,REVERSÃO,BV FINANCEIRA,137,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,214939,1,VALORES,RAILANA FLORIANOPOLIS,RECEPTIVO,ADRIANO,BV FINANCEIRA,104,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,216575,3,valores,RECEPTIVO,RECEPTIVO,ADRIANO,GMAC,903,KATIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,203208,2,valores,RECEPTIVO,RECEPTIVO,,SANTANDER,313.1,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,169518,2,VALORES,,,,BRADESCO,212,KATIA,RESOLVIDO,EM ACORDO,,,,,,,,,
08/01/2025,08/01/2025,185162,2,VALORES,RECEPTIVO,RECEPTIVO,ADRIANO,SANTANDER,316,KATIA,RESOLVIDO,EM ACORDO,,,,,,,,,
08/01/2025,08/01/2025,201169,2,"R$ 28.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,SANTANDER,310,MONYZA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
08/01/2025,08/01/2025,104938,3,"R$ 3.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,PANAMERICANO,505,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,199845,2,valores,RECEPTIVO,RECEPTIVO,ADRIANO,PANAMERICANO,536,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,202461,1,VALORES,RAILANA FLORIANOPOLIS,RECEPTIVO,ADRIANO,SANTANDER,314.1,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,204225,1,VALORES,RAILANA FLORIANOPOLIS,RECEPTIVO,ADRIANO,SANTANDER,307,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,206812,2,"R$ 19.000,00",RAILANA FLORIANOPOLIS,RECEPTIVO,ADRIANO,PANAMERICANO,514,FABIANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,207311,2,"R$ 20.000,00",MARCELO NOVO HAMBURGO,RECEPTIVO,ADRIANO,SANTANDER,310,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,227674,1,,,RECEPTIVO,ADRIANO,PANAMERICANO,536,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,212186,2,valores,RECEPTIVO,RECEPTIVO,ADRIANO,PANAMERICANO,536,KATIA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,08/01/2025,175406,1,VALORES,,,,BV FINANCEIRA,108,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
27/12/2024,09/01/2024,195548,1,"R$ 25.000,00",TICKET,RECEPTIVO,LEANDRO,BRADESCO,218,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,09/01/2025,217485,1,"R$14.000,00",PHILLIPE SANTA LUZIA,RECEPTIVO,LEANDRO,PANAMERICANO,514,VITORIA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,09/01/2025,167637,1,50% A 80%,"NATAL, RN",ATIVO,ADRIANO,PANAMERICANO,516,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,09/01/2024,208812,1,"R$ 10.000,00",,RECEPTIVO,ADRIANO,SANTANDER,302,AMANDA SANTANA,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,09/01/2025,203815,2,50% A 80%,RECEPTIVO,ATIVO,LEANDRO,BRADESCO,212.3,BRUNO MARIANO,RESOLVIDO,APROVADO,,,,,,,,,
06/01/2025,08/01/2025,200480,1,"R$ 18.000,00",MARCELO NOVO HAMBURGO,RECEPTIVO,ADRIANO,SANTANDER,328,GREICY,RESOLVIDO,AGUARDANDO MINUTA E BOLETO,,,,,,,,,
06/01/2025,08/01/2025,198364,1,"R$ 9.500,00",MARCELO NOVO HAMBURGO,RECEPTIVO,ADRIANO,PANAMERICANO,504,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,08/01/2025,191651,,valores,ELLANY ANAPOLIS,ATIVO,LEANDRO,SANTANDER,339,ALINE SALVADOR,RESOLVIDO,AGUARDANDO BOLETO,BOLETO PAGO/ REFINAN.,,,,,,,,
08/01/2025,09/01/2025,216480,1,"R$ 10.000,00",RECEPTIVO,RECEPTIVO,ADRIANO,BV FINANCEIRA,108,MONYZA,RESOLVIDO,AGUARDANDO COMPROVANTE,,,,,,,,,
08/01/2025,09/01/2024,214013,4,"R$ 15.000,00",AVULSO,RECEPTIVO,ADRIANO,BV FINANCEIRA,104,AMANDA SANTANA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,09/01/2025,211788,1,"R$ 11.000,00",RECEPTIVO,RECEPTIVO,ADRIANO,SANTANDER,316.,MONYZA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,9/1/2025,146178,3,VALORES,RECEPTIVO,RECEPTIVO,LEANDRO,VOLKSWAGEN,BANCO,EDIANE,RESOLVIDO,AGUARDANDO MINUTA E BOLETO,,,,,,,,,
02/01/2025,08/01/2025,192841,1,50% Á 80%,FABIO NOVO HAMBURGO,ATIVO,ADRIANO,RENNER,05132843100,JULIANA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,09/01/2025,195175,2,50% Á 80%,FABIO NOVO HAMBURGO,ATIVO,ADRIANO,BV FINANCEIRA,105,AMANDA SANTANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,08/01/2025,208522,2,50% Á 80%,FABIO NOVO HAMBURGO,ATIVO,ADRIANO,BRADESCO,BANCO,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,09/01/2025,212616,2,50% A 80%,"JARAGUÁ DO SUL, SC",ATIVO,ADRIANO,RCI,1003,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,09/01/2025,195819,1,50% A 80%,REVERSÃO,ATIVO,FECHADO,PANAMERICANO,,MARIA BRUNA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,09/01/2025,178037,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,SANTANDER,368,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
02/01/2025,09/01/2025,188369,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,BRADESCO,BANCO,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,09/01/2025,220488,1,50% A 80%,"CUIABÁ, LESTE, MT",ATIVO,LEANDRO,BV FINANCEIRA,BANCO,FABIANA,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,08/01/2025,207643,1,50% A 80%,"TRAMANDAI, RS",ATIVO,ADRIANO,SANTANDER,306,EDIANE,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
02/01/2025,09/01/2025,166192,1,50% A 80%,"MOSSORÓ, RN",ATIVO,LEANDRO,BV FINANCEIRA,139,MONYZA,RESOLVIDO,AT DE PARCELAS,,,,,,,,,
02/01/2025,08/01/2025,119350,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,PANAMERICANO,516.2,GREICY,RESOLVIDO,CANCELADO,,,,,,,,,
02/01/2025,09/01/2025,177963,1,50% A 80%,"NOVO HAMBURGO, CENTRO, RS",ATIVO,ADRIANO,RENNER,4032.2,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
02/01/2025,08/01/2025,203476,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,BV FINANCEIRA,CARTÃO,EDIANE,RESOLVIDO,AGÊNCIA,,,,,,,,,
02/01/2025,09/01/2025,210041,1,50% A 80%,"Novo Hamburgo, Centro, RS",ATIVO,ADRIANO,ITAÚ,436,FABIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,188146,2,valores,JANNE TERESINA,RECEPTIVO,,SANTANDER,314.1,JULIANA,RESOLVIDO,,,,,,,,,,
06/01/2025,09/01/2025,207576,1,"R$ 5.000,00",MARCOS BRASILIA,RECEPTIVO,LEANDRO,,,VITORIA,RESOLVIDO,,,,,,,,,,
06/01/2025,08/01/2025,228308,1,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,310,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
06/01/2025,08/01/2025,203737,1,valores,TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,139,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,09/01/2025,208913,1,"R$ 6.500,00",JORGE NATAL,RECEPTIVO,ADRIANO,PANAMERICANO,505,MARIA BRUNA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,09/01/2025,222595,2,valores,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,313,VITORIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,229006,1,"18.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,,JULIANA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,09/01/2025,195488,1,valores,TICKET,RECEPTIVO,ADRIANO,BV FINANCEIRA,105 wpp,ALINE SALVADOR,RESOLVIDO,AGUARDANDO BOLETO,BOLETO PAGO,,,,,,,,
07/01/2025,08/01/2025,223685,1,"12.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,,JULIANA,RESOLVIDO,,,,,,,,,,
07/01/2025,08/01/2025,178721,1,"5.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,328,EDIANE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
07/01/2025,08/01/2025,206332,2,valores,TICKET,RECEPTIVO,LEANDRO,BV FINANCEIRA,101,IZABEL,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,09/01/2025,181463,1,"R$ 5.000,00",JORGE NATAL,,ADRIANO,SANTANDER,BANCO,EDIANE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,09/01/2025,201219,3,"R$ 10.000,00",JONATAM TRAMANDAI,,ADRIANO,SANTANDER,310,ITAYNNARA,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,09/01/2025,230671,1,"R$ 9.000,00",JONATAM TRAMANDAI,,ADRIANO,SANTANDER,BANCO,EDIANE,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,09/01/2025,214854,2,VALORES,FINANCEIRO,,FECHADO,PANAMERICANO,BANCO,EDIANE,RESOLVIDO,QUITADO EMPRESA,,,,,,,,,
08/01/2025,09/01/2025,205482,2,"R$ 5.000,00",MONITORAMENTO,,LEANDRO,ITAÚ,,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,09/01/2025,237737,1,VALORES,MONITORAMENTO,,LEANDRO,ITAÚ,401,MONYZA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,09/01/2025,215827,1,5.000,TICKET,RECEPTIVO,ADRIANO,SANTANDER,,JULIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
08/01/2025,09/01/2025,104938,3,valores,TICKET,RECEPTIVO,LEANDRO,PANAMERICANO,505,IZABEL,RESOLVIDO,APROVADO,,,,,,,,,
08/01/2025,09/01/2025,224375,2,"38.000,00",TICKET,RECEPTIVO,LEANDRO,SANTANDER,,GREICY,RESOLVIDO,SEM DESCONTO,,,,,,,,,
